"gene","MoransI_observed","MoransI_p_value","spatially_variable","spatial_rank"
"CXCL14",0.612507682421094,0,TRUE,1
"MUC1",0.611798753246955,0,TRUE,2
"KRT8",0.599921005359174,0,TRUE,3
"S100A11",0.580317572199021,0,TRUE,4
"MGP",0.555354911818963,0,TRUE,5
"TCEAL4",0.531041544331239,0,TRUE,6
"CCND1",0.528052740843023,0,TRUE,7
"KRT18",0.52518184092984,0,TRUE,8
"S100A16",0.52299699526791,0,TRUE,9
"IFI27",0.519486510872568,0,TRUE,10
"COX6C",0.49568821863783,0,TRUE,11
"SCGB1D2",0.491534859876735,0,TRUE,12
"SLC39A6",0.485007212232549,0,TRUE,13
"RPL8",0.484625889018245,0,TRUE,14
"S100G",0.482258654149422,0,TRUE,15
"MCCD1",0.481077522978451,0,TRUE,16
"MORF4L2",0.479650479825217,0,TRUE,17
"H2AFJ",0.478460356143127,0,TRUE,18
"SCGB2A2",0.471013749413211,0,TRUE,19
"S100A13",0.468683691227701,0,TRUE,20
"IGLC2",0.454795189776393,0,TRUE,21
"GALNT6",0.448082744373933,0,TRUE,22
"ZNF703",0.444298540833505,0,TRUE,23
"DEGS2",0.442752584294431,0,TRUE,24
"GNG5",0.440179546618478,0,TRUE,25
"CSTA",0.440117999203779,0,TRUE,26
"NUPR1",0.4398715352333,0,TRUE,27
"MT-ND1",0.436812302320097,0,TRUE,28
"BAMBI",0.435984591263534,0,TRUE,29
"KRT37",0.433799621353357,0,TRUE,30
"ISG15",0.431186175664424,0,TRUE,31
"GAPDH",0.42736941997563,0,TRUE,32
"RPLP1",0.425182053963771,0,TRUE,33
"TTLL12",0.424666762453673,0,TRUE,34
"IGHG3",0.42356576360068,0,TRUE,35
"MT-CO1",0.418955550410342,0,TRUE,36
"KRT19",0.418089223947881,0,TRUE,37
"IGKC",0.4159395541615,0,TRUE,38
"AGR2",0.415372677498769,0,TRUE,39
"AQP3",0.411098783812239,0,TRUE,40
"CRAT",0.410123476503433,0,TRUE,41
"IGFBP5",0.4062664876292,0,TRUE,42
"SREBF1",0.405220789933185,0,TRUE,43
"MMP11",0.4013746390145,0,TRUE,44
"HLA-A",0.400284126086436,0,TRUE,45
"PGK1",0.400043846940665,0,TRUE,46
"CPNE7",0.399427147521753,0,TRUE,47
"HLA-B",0.398403410312172,0,TRUE,48
"DEGS1",0.394123836262358,0,TRUE,49
"SERPINA3",0.393515669983048,0,TRUE,50
