"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.62181449581861e-138,3.40472715220353,0.366,0.079,3.28044418069229e-134,"0","CCL21"
1.45752718384771e-289,3.32535656551838,0.68,0.174,2.94814023476875e-285,"0","CCL19"
1.0663993978408e-220,3.0879374350267,0.744,0.332,2.15700606201258e-216,"0","IGHM"
1.89538630253686e-140,2.97980468437117,0.332,0.059,3.83379787414131e-136,"0","IL7R"
1.28268791900947e-247,2.85973778804271,0.666,0.216,2.59449285378046e-243,"0","TRBC2"
1.52581030001823e-112,2.85295638207431,0.281,0.052,3.08625649384687e-108,"0","JAML"
1.13797009689042e-105,2.84198414865967,0.386,0.122,2.30177211498025e-101,"0","IGHG2"
3.1484404335178e-221,2.80908182428046,0.584,0.161,6.36835046487645e-217,"0","LTB"
3.3673330812898e-101,2.80627250953037,0.266,0.053,6.81110462352488e-97,"0","TIGIT"
1.57706010895253e-191,2.78287602854921,0.523,0.139,3.18991948237827e-187,"0","TRBC1"
0,3.45039247080286,0.623,0.077,0,"1","Z82214.2"
0,3.04747835103247,0.654,0.09,0,"1","SPAG6"
0,3.04616112909494,0.71,0.117,0,"1","ARPP21"
5.89571632795997e-229,2.92781285884092,0.492,0.07,1.19252654165646e-224,"1","CCNO"
1.75002832721232e-97,2.81063261129608,0.275,0.051,3.53978229745237e-93,"1","MMP1"
1.52051770953301e-215,2.72000489801873,0.48,0.07,3.07555117107242e-211,"1","BRINP3"
0,2.64142663658652,0.999,0.77,0,"1","CXCL14"
1.4018374742265e-141,2.45441515087446,0.363,0.06,2.83549665911794e-137,"1","PEG10"
8.32766946590136e-273,2.39172907866748,0.727,0.161,1.68443770286787e-268,"1","BMERB1"
2.51462584087984e-247,2.38948802941996,0.682,0.154,5.08633368834766e-243,"1","FBN2"
3.57192970363544e-102,3.32866053917899,0.284,0.038,7.22494221154341e-98,"2","ADM"
1.37098281542332e-130,2.92261662614179,0.45,0.083,2.77308694075676e-126,"2","MIR210HG"
3.38398085818501e-80,2.91246306914334,0.268,0.044,6.84477808185082e-76,"2","EGLN3"
1.09315814289022e-77,2.86632749529525,0.259,0.042,2.21113097562405e-73,"2","TMEM158"
1.54090744849611e-223,2.75965575812293,0.992,0.595,3.11679349607307e-219,"2","SPP1"
3.84199746622443e-165,2.59617305013194,0.707,0.19,7.77120827493215e-161,"2","COL11A1"
7.36353959860676e-68,2.57933941302226,0.268,0.052,1.48942315461019e-63,"2","VSTM2L"
1.12163639923638e-130,2.56685638753456,0.552,0.131,2.26873394473542e-126,"2","LOXL2"
7.8163920138931e-90,2.42147759145442,0.425,0.105,1.58102161265016e-85,"2","ITGA11"
8.60031386685866e-133,2.37552419106615,0.624,0.169,1.7395854858495e-128,"2","COL10A1"
9.23587035466852e-90,4.79773646006925,0.637,0.256,1.8681394966388e-85,"3","ALB"
3.4537872243186e-109,3.68340612368872,0.304,0.038,6.98597541862923e-105,"3","GRB14"
5.61907414178392e-52,3.64156240051719,0.278,0.067,1.13657012665863e-47,"3","KRT14"
1.95659475158539e-56,3.57958141373988,0.325,0.084,3.95760420403177e-52,"3","S100A2"
1.4824935972955e-37,3.47943917682245,0.39,0.152,2.99863979924961e-33,"3","MMP7"
1.69553360459213e-96,3.1860092863047,0.299,0.042,3.4295558220085e-92,"3","NDP"
4.24952627099503e-73,3.16793877610036,0.306,0.059,8.59551678834166e-69,"3","KRT17"
6.40622434801846e-47,3.1263371572497,0.271,0.07,1.29578699887369e-42,"3","PSCA"
1.25845566386531e-48,3.10424394056213,0.361,0.118,2.54547827130036e-44,"3","ZNF350-AS1"
4.55599152452009e-110,2.84330757313778,0.401,0.069,9.21540405664678e-106,"3","HGD"
1.32426921734117e-213,3.94544057263038,1,0.673,2.67859934591599e-209,"4","SCGB1D2"
2.816970406623e-207,3.86869815945334,1,0.693,5.69788604147634e-203,"4","SCGB2A2"
